state,category,n_contracts,total_category_awards,total_category_awards_per_capita
Texas,Defense & National Security,21406,12567568188.080067,416.3042160822992
California,Defense & National Security,24917,13802319747.789968,351.3169063892957
California,"Justice, Law & Civil Rights",815,3315550295.83,84.39225392496934
California,Social Services & Public Health,1851,2380862053.2800007,60.601196493214616
Texas,Social Services & Public Health,838,1578856903.2300005,52.30007711664579
California,Government Operations & Administration,19958,1659675052.3899999,42.24448612056742
California,"Agriculture, Commerce & Labor",2129,1355174244.6999998,34.49388450392094
Texas,"Science, Technology & Environment",181,860842956.3100003,28.515664027708116
California,"Science, Technology & Environment",518,1000138514.6,25.456993848176733
Texas,"Agriculture, Commerce & Labor",486,584411690.4499999,19.358800924818066
California,Foreign Affairs & International Development,925,630749316.1400005,16.05475764238474
Texas,Government Operations & Administration,5792,396449894.0200105,13.132513774816813
California,Infrastructure & Transportation,237,314401718.52999985,8.002614135578455
Texas,"Justice, Law & Civil Rights",441,194676687.02999994,6.4487197817945034
Texas,Economic & Financial Regulation,116,187464927.72000006,6.209828234822727
California,Economic & Financial Regulation,323,171005068.79999995,4.352672075817124
Texas,Infrastructure & Transportation,84,73328926.82000002,2.429041238456172
Texas,Foreign Affairs & International Development,173,24827919.890000004,0.8224318000171192
California,"Education, Arts & Culture",12,13060894.47,0.332445061679735
Texas,"Education, Arts & Culture",19,4528077.890000001,0.14999384830423743
