year,state,total_award_sum,minority_award_sum,minority_award_percent
2020,Texas,695513864988.4446,16365715296.719587,2.35
2020,California,708375752105.4719,20002842276.94026,2.82
2024,Texas,644145559836.8625,16472956171.440145,2.56
2024,California,565916699989.7816,24642936906.53001,4.35
