state,awarding_agency_name,n_contracts,total_agency_award_values,total_agency_award_per_capita,category
California,Social Security Administration,43,20905509.430000007,0.53,Social Services & Public Health
California,Department of Education,6,12879078.450000001,0.33,"Education, Arts & Culture"
California,Government Accountability Office,5,6633424.27,0.17,Government Operations & Administration
Texas,Department of Education,17,4156517.89,0.14,"Education, Arts & Culture"
California,Nuclear Regulatory Commission,10,4781942.68,0.12,Defense & National Security
California,Small Business Administration,29,3828703.11,0.1,Economic & Financial Regulation
California,Millennium Challenge Corporation,1,2999552.89,0.08,Foreign Affairs & International Development
Texas,Corporation for National and Community Service,1,2148365.87,0.07,Social Services & Public Health
California,Federal Communications Commission,10,2776823.1900000004,0.07,Infrastructure & Transportation
California,Securities and Exchange Commission,5,2471244.71,0.06,Economic & Financial Regulation
California,Peace Corps,1,1838803.83,0.05,Social Services & Public Health
California,National Transportation Safety Board,2,1760315.58,0.04,Infrastructure & Transportation
California,U.S. Agency for Global Media,9,1752984.74,0.04,Foreign Affairs & International Development
Texas,U.S. Agency for Global Media,2,990961.85,0.03,Foreign Affairs & International Development
Texas,National Science Foundation,1,970021,0.03,"Science, Technology & Environment"
Texas,Court Services and Offender Supervision Agency,5,958707.2,0.03,"Justice, Law & Civil Rights"
Texas,Consumer Financial Protection Bureau,3,947550.4600000001,0.03,Economic & Financial Regulation
Texas,National Archives and Records Administration,3,830984.16,0.03,Government Operations & Administration
Texas,Federal Communications Commission,1,784896.44,0.03,Infrastructure & Transportation
California,Federal Mediation and Conciliation Service,4,1347831.48,0.03,"Justice, Law & Civil Rights"
California,National Labor Relations Board,9,1215154.35,0.03,"Justice, Law & Civil Rights"
California,Agency for International Development,2,1009676,0.03,Foreign Affairs & International Development
California,Federal Election Commission,2,1006375.95,0.03,"Justice, Law & Civil Rights"
Texas,Agency for International Development,2,743533.46,0.02,Foreign Affairs & International Development
Texas,Nuclear Regulatory Commission,2,476368.5,0.02,Defense & National Security
California,U.S. International Development Finance Corporation,1,666684.93,0.02,Economic & Financial Regulation
Texas,Equal Employment Opportunity Commission,2,398301.14,0.01,"Justice, Law & Civil Rights"
Texas,Smithsonian Institution,2,371560,0.01,"Education, Arts & Culture"
Texas,Small Business Administration,3,231434.25,0.01,Economic & Financial Regulation
Texas,National Labor Relations Board,1,165806.96,0.01,"Justice, Law & Civil Rights"
California,Federal Trade Commission,1,379451,0.01,Economic & Financial Regulation
California,National Science Foundation,4,374596.27,0.01,"Science, Technology & Environment"
Texas,Federal Trade Commission,1,81837,0,Economic & Financial Regulation
Texas,International Trade Commission,1,11400,0,"Justice, Law & Civil Rights"
California,Smithsonian Institution,5,127558.16,0,"Education, Arts & Culture"
California,Equal Employment Opportunity Commission,10,113608,0,"Justice, Law & Civil Rights"
California,Commodity Futures Trading Commission,1,75477.78,0,Economic & Financial Regulation
California,Export-Import Bank of the United States,1,66200,0,Economic & Financial Regulation
California,Morris K. Udall and Stewart L. Udall Foundation,1,54257.86,0,"Education, Arts & Culture"
California,Executive Office of the President,1,53328,0,Government Operations & Administration
California,Consumer Financial Protection Bureau,1,42298.8,0,Economic & Financial Regulation
