state,awarding_agency_name,n_contracts,total_agency_award_values,total_agency_award_per_capita,category
Texas,Department of Defense,20867,10353633287.680069,342.97,Defense & National Security
California,Department of Defense,24408,13168039879.859968,335.17,Defense & National Security
California,Department of Justice,790,3311867326.05,84.3,"Justice, Law & Civil Rights"
Texas,Department of Homeland Security,537,2213458531.8999987,73.32,Defense & National Security
California,General Services Administration,19942,1625509088.6699998,41.37,Government Operations & Administration
Texas,Department of Veterans Affairs,674,1044907665.2100004,34.61,Social Services & Public Health
California,Department of Health and Human Services,552,1193120503.7299995,30.37,Social Services & Public Health
California,Department of Veterans Affairs,1244,1121228607.350001,28.54,Social Services & Public Health
Texas,National Aeronautics and Space Administration,129,754884462.3300003,25.01,"Science, Technology & Environment"
California,National Aeronautics and Space Administration,327,681551064.89,17.35,"Science, Technology & Environment"
Texas,Department of Health and Human Services,70,493493862.8800002,16.35,Social Services & Public Health
California,Department of Homeland Security,499,629497925.2499998,16.02,Defense & National Security
California,Department of State,913,624987102.5100005,15.91,Foreign Affairs & International Development
California,Department of Agriculture,1406,547735394.9599994,13.94,"Agriculture, Commerce & Labor"
Texas,General Services Administration,5789,395618909.86001045,13.1,Government Operations & Administration
California,Department of Labor,38,469694937.07,11.96,"Agriculture, Commerce & Labor"
Texas,Department of Labor,31,304388572.45000005,10.08,"Agriculture, Commerce & Labor"
California,Department of Transportation,225,309864579.7599999,7.89,Infrastructure & Transportation
California,Department of the Interior,582,308952797.4400002,7.86,"Agriculture, Commerce & Labor"
Texas,Department of Justice,432,193142471.72999996,6.4,"Justice, Law & Civil Rights"
California,Department of Energy,123,223118354.25,5.68,"Science, Technology & Environment"
Texas,Department of the Treasury,96,159838956.70000005,5.29,Economic & Financial Regulation
Texas,Department of the Interior,207,142239060.20999995,4.71,"Agriculture, Commerce & Labor"
California,Department of the Treasury,284,163475008.4699999,4.16,Economic & Financial Regulation
Texas,Department of Agriculture,211,106313047.24000005,3.52,"Agriculture, Commerce & Labor"
California,Environmental Protection Agency,64,95094499.19000001,2.42,"Science, Technology & Environment"
Texas,Department of Transportation,83,72544030.38000003,2.4,Infrastructure & Transportation
Texas,Environmental Protection Agency,30,71606769.2,2.37,"Science, Technology & Environment"
Texas,Department of Energy,21,33381703.779999997,1.11,"Science, Technology & Environment"
California,Department of Housing and Urban Development,11,43768628.94,1.11,Social Services & Public Health
Texas,Department of Commerce,37,31471010.549999997,1.04,"Agriculture, Commerce & Labor"
Texas,Securities and Exchange Commission,13,26365149.31,0.87,Economic & Financial Regulation
Texas,Department of State,169,23093424.580000002,0.76,Foreign Affairs & International Development
Texas,Social Security Administration,64,21980649.550000004,0.73,Social Services & Public Health
California,Department of Commerce,103,28791115.23,0.73,"Agriculture, Commerce & Labor"
California,National Archives and Records Administration,10,27479211.450000007,0.7,Government Operations & Administration
Texas,Department of Housing and Urban Development,29,16326359.719999999,0.54,Social Services & Public Health
